species	external_id	current_symbol	prev_or_alias
zebrafish	NCBI_Gene:570651	sv2	sv2
zebrafish	ZDB-GENE-000607-82	wwp2	wwp2
zebrafish	NCBI_Gene:564527	wwp2	wwp2
zebrafish	ZDB-GENE-000607-83	krt4	krt4
zebrafish	NCBI_Gene:794486	krt4	krt4
zebrafish	ZDB-GENE-000616-1	badb	badb
zebrafish	NCBI_Gene:58100	badb	badb
zebrafish	ZDB-GENE-000616-10	smx5	smx5
zebrafish	NCBI_Gene:57924	smx5	smx5
zebrafish	ZDB-GENE-000616-11	whr1	whr1
zebrafish	NCBI_Gene:137487187	whr1	whr1
zebrafish	ZDB-GENE-000616-13	appa	appa
zebrafish	NCBI_Gene:58083	appa	appa
zebrafish	ZDB-GENE-000616-14	gart	gart
zebrafish	NCBI_Gene:58141	gart	gart
zebrafish	ZDB-GENE-000616-15	foxh1	foxh1
zebrafish	NCBI_Gene:57930	foxh1	foxh1
zebrafish	ZDB-GENE-000616-16	hsf1	hsf1
zebrafish	NCBI_Gene:58123	hsf1	hsf1
zebrafish	ZDB-GENE-000616-2	dedd1	dedd1
zebrafish	NCBI_Gene:58125	dedd1	dedd1
zebrafish	ZDB-GENE-000616-3	caspa	caspa
zebrafish	NCBI_Gene:57933	caspa	caspa
zebrafish	ZDB-GENE-000616-4	apaf1	apaf1
zebrafish	NCBI_Gene:58131	apaf1	apaf1
zebrafish	ZDB-GENE-000616-5	adar	adar
zebrafish	NCBI_Gene:58119	adar	adar
zebrafish	ZDB-GENE-000616-6	myf5	myf5
zebrafish	NCBI_Gene:58097	myf5	myf5
zebrafish	ZDB-GENE-000616-8	prph2a	prph2a
zebrafish	NCBI_Gene:58085	prph2a	prph2a
zebrafish	ZDB-GENE-000616-9	prph2b	prph2b
zebrafish	NCBI_Gene:559209	prph2b	prph2b
zebrafish	ZDB-GENE-000619-1	cxcl14	cxcl14
zebrafish	NCBI_Gene:58151	cxcl14	cxcl14
zebrafish	ZDB-GENE-000622-1	gata6	gata6
zebrafish	NCBI_Gene:58076	gata6	gata6
zebrafish	ZDB-GENE-000626-1	tnnt2a	tnnt2a
zebrafish	NCBI_Gene:58071	tnnt2a	tnnt2a
zebrafish	ZDB-GENE-000627-1	fabp7a	fabp7a
zebrafish	NCBI_Gene:58128	fabp7a	fabp7a
zebrafish	ZDB-GENE-000627-2	adarb1a	adarb1a
zebrafish	NCBI_Gene:58134	adarb1a	adarb1a
zebrafish	ZDB-GENE-000629-1	rplp0	rplp0
zebrafish	NCBI_Gene:58101	rplp0	rplp0
zebrafish	ZDB-GENE-000629-2	ngfb	ngfb
zebrafish	NCBI_Gene:58133	ngfb	ngfb
zebrafish	ZDB-GENE-000629-3	ybx1	ybx1
zebrafish	NCBI_Gene:795398	ybx1	ybx1
zebrafish	ZDB-GENE-000705-1	kdrl	kdrl
zebrafish	NCBI_Gene:796537	kdrl	kdrl
zebrafish	ZDB-GENE-000710-1	gpr173	gpr173
zebrafish	NCBI_Gene:57926	gpr173	gpr173
zebrafish	ZDB-GENE-000710-2	gpr85	gpr85
zebrafish	NCBI_Gene:793299	gpr85	gpr85
zebrafish	ZDB-GENE-000710-3	nme6	nme6
zebrafish	NCBI_Gene:58120	nme6	nme6
zebrafish	ZDB-GENE-000710-4	zic2a	zic2a
zebrafish	NCBI_Gene:58077	zic2a	zic2a
zebrafish	ZDB-GENE-000710-6	mxtx2	mxtx2
zebrafish	NCBI_Gene:58078	mxtx2	mxtx2
zebrafish	ZDB-GENE-000710-7	mxtx1	mxtx1
zebrafish	NCBI_Gene:100149566	mxtx1	mxtx1
zebrafish	ZDB-GENE-000713-1	casp8	casp8
zebrafish	NCBI_Gene:58022	casp8	casp8
zebrafish	ZDB-GENE-000804-1	per3	per3
zebrafish	NCBI_Gene:58107	per3	per3
zebrafish	ZDB-GENE-000816-1	fgfr3	fgfr3
zebrafish	NCBI_Gene:58129	fgfr3	fgfr3
zebrafish	ZDB-GENE-000822-1	hoxc6b	hoxc6b
zebrafish	NCBI_Gene:58045	hoxc6b	hoxc6b
zebrafish	ZDB-GENE-000822-2	hoxc1a	hoxc1a
zebrafish	NCBI_Gene:58046	hoxc1a	hoxc1a
zebrafish	ZDB-GENE-000822-3	hoxc11b	hoxc11b
zebrafish	NCBI_Gene:570925	hoxc11b	hoxc11b
zebrafish	ZDB-GENE-000822-4	hoxc13a	hoxc13a
zebrafish	NCBI_Gene:58059	hoxc13a	hoxc13a
zebrafish	ZDB-GENE-000822-5	hoxc13b	hoxc13b
zebrafish	NCBI_Gene:58063	hoxc13b	hoxc13b
zebrafish	ZDB-GENE-000822-6	hoxc12a	hoxc12a
zebrafish	NCBI_Gene:562600	hoxc12a	hoxc12a
zebrafish	ZDB-GENE-000823-1	hoxa9a	hoxa9a
zebrafish	NCBI_Gene:58047	hoxa9a	hoxa9a
zebrafish	ZDB-GENE-000823-2	hoxa9b	hoxa9b
zebrafish	NCBI_Gene:58048	hoxa9b	hoxa9b
zebrafish	ZDB-GENE-000823-3	hoxa3a	hoxa3a
zebrafish	NCBI_Gene:58049	hoxa3a	hoxa3a
zebrafish	ZDB-GENE-000823-4	hoxa4a	hoxa4a
zebrafish	NCBI_Gene:58050	hoxa4a	hoxa4a
zebrafish	ZDB-GENE-000823-5	hoxa1a	hoxa1a
zebrafish	NCBI_Gene:58051	hoxa1a	hoxa1a
zebrafish	ZDB-GENE-000823-6	hoxb5b	hoxb5b
zebrafish	NCBI_Gene:58052	hoxb5b	hoxb5b
